name,profile
Mr. Pavan Nigam,"Mr. Pavan Nigam is a highly successful serial entrepreneur and venture capitalist who credited with building and nurturing some of the world-class companies. He shot to fame with the phenomenal success of his co-founded company WebMD that went on to become the largest e-health company in the world and one of the most reputed consumer brands.Later, he co-founded many companies. In 2011, he set up Inspovation Ventures and since then has invested in dozens of sparkling ideas and turned them into running enterprises. In 2018, IIT Kanpur conferred upon him the prestigious Distinguished Alumnus Award for entrepreneurial and management excellence.

Mr. Nigam obtained a B.Tech. in Electrical Engineering from IIT Kanpur in 1980 and an MS in Computer Science from the University of Wisconsin-Madison, USA, in 1982. For the next 4 years, he worked with Intel as an engineering lead before joining the cutting-edge tech firm Silicon Graphics where he led the deployment of Time Warner Inc's interactive TV project widely recognized as the most advanced ITV system ever created.

In 1996, Mr. Nigam started his entrepreneurial journey when he co-founded a company that revolutionized the healthcare system in the USA. The WebMD, formerly known as Healtheon, is the most trusted leader in the world for health-care information and IT. The launch of the company's multibillion-dollar IPO in 1999 turned out to be one of the most significant corporate events of the Internet era. Mr. Nigam's role as a co-founder, chief technology officer and EVP at WebMD has been extensively profiled in the bestseller The New New Thing by Michael Lewis. He successfully exited the company in 2002.



As the saying goes, once an entrepreneur, always an entrepreneur. ""While on holiday I was restless, not knowing what to do. And after considering several start-ups, I zeroed in on Web applications."" Continuing with his love for challenges, Mr. Nigam started Cendura Corporation largely with his own money and within a short span of time developed it into a market leader for data-center automation. Later, in 2006, the company was acquired by the Computer Associates. He also co-founded a consumer Internet company called Trackle.

After experiencing phenomenal success as an entrepreneur, Mr. Nigam decided to diversify his portfolio and co-founded an angel investment firm called Inspovation Ventures with the ambition of nurturing the most innovative and sparkling startup ideas and turning them into world-class companies. ""We like to partner with founding teams that have a balance of deep technical experience and business acumen. It's also vital that they are well versed with the target market and domain."" The firm has built many companies in the areas such as mobile, cloud and Artificial Intelligence, for instance, Firebase, Flutter and Appurify (all acquired by Google); Swell (acquired by Apple); Vocalnet (acquired by Jive), Credibase, Opsclarity, Skyline Labs, Mediaspike, Learnup, Shopsocially, Benu and many more. Mr. Nigam serves on the boards of several companies and not-for-profit organizations. He is also the founder of the Silicon Valley Badgers and the IIT Kanpur Entrepreneurship Forum, two of the largest alumni-led entrepreneurial groups. He is an active member of the Band of Angels and TiE (The IndUS Entrepreneurs) Angels.



Besides his outstanding contributions as an entrepreneur and angel investor, Mr. Nigam is also involved with many community initiatives. He is the Advisory Chairman of the Kick, Lead and Dream Organization, which was founded by his children and is now the largest all volunteer summer camp for at-risk youth in the Bay Area. He also founded the Computer Learning Center for underprivileged children in Kanpur, India. Mr. Nigam lives in Los Altos, CA and loves to travel, hike, golf and mostly spend time with his family. He is an avid sports fan and closely follows his beloved 49ers and Badgers."
Mr. Bhadresh K. Shah,"Mr. Bhadresh K. Shah is the founder and Managing Director of AIA Engineering, the second largest Hi-Chrome casting producer in the world. AIA Engineering is a globally acclaimed metallurgical products company that specializes in the design, development, manufacture, installation and servicing of metal castings across industries. In 2013, IIT Kanpur conferred upon him the Distinguished Alumnus Award for entrepreneurial excellence.Mr. B.K. Shah received his B.Tech. in metallurgical engineering from IIT Kanpur in 1974. In 1976, keen to start his own venture, he set up a foundry with the aid of bank loans and financial assistance from his father. His first attempt at supplying metal castings to compressor makers and textile units failed because of poor product quality. Being pragmatic, he adopted a rational approach and changed his business plans. In 1977, he started supplying replacement components to power plants. Two years later, he set up a company named Ahmedabad Induction Alloy (AIA), in partnership with one of his friends. The company manufactured steel alloys and iron castings for power plants."
Dr. Rajiv Desai,"Dr. Rajiv Desai is a serial technopreneur who has made significant contributions to the fields of robotics and artificial intelligence. He is the founder and CEO of 3Di Inc. and Kahuna Systems. He has worked with some of the world's leading technology companies and managed R&D projects, product development, software services and licensing contracts and strategic business partnerships. He is also the recipient of NASA's Exceptional Achievement Medal. In 2007, IIT Kanpur conferred upon him the Distinguished Alumnus Award for his remarkable contributions to science and technology.Mr. Desai received his B.Tech. in Mechanical Engineering from IIT Kanpur in 1982. Following it, he joined the University of Michigan, Ann Arbor, USA to pursue dual MS degrees in Mechanical and Computer Engineering. In 1987, he obtained a Ph.D. in Mechanical Engineering from the same university. In 1994, he obtained an MBA from Massachusetts Institute of Technology Sloan School of Management, USA.

Dr. Desai has been a serial technopreneur throughout his life. From 1990 to 1997, he was a part of the founding team of iRobot, an advanced technology company that designs robots for space exploration and military defense. He also founded and served as the CTO of Embedio, a company that pioneered the development of next generation embedded operating system for ubiquitous computing (IOT). For close to 19 years, he worked as a scientist with NASA's Jet Propulsion Laboratory where his team pioneered the concept of micro robots that led to Mars Pathfinder Mission in 1997. He was honored with the NASA's Exceptional Achievement Medal and in 1994 with the Caltech/JPL's Lew Allen Award for contributing to Robotics and AI technology.

In 1997, he founded 3Di. The company has been designing and delivering IT solutions to public and private sector and military clients. It works in the areas of websites & portals, content management, mobile platforms, custom applications, CRM, SOA, Cloud Solution and others. So far, it has executed 200+ projects for public, private and military clients. Kahuna Systems is a subsidiary of 3Di Systems. It provides services in the domain of mobile applications and product engineering. 3Di has received several awards and recognitions from its customers and other agencies for developing innovative solutions and delivering outstanding value.

Dr. Desai has also taught courses in robotics and artificial intelligence at UCLA, International Space University and several educational and research institutions in the USA, Japan and Europe. He has over 30 publications and patents to his name."
Mr. Tej Kohli,"Tej Kohli is a technologist and investor who backs ventures in the fields of artificial intelligence, robotics and biotechnology. His career as an entrepreneur culminated in the sale of his e-commerce and online payments business in 2006. Since this major liquidity event Tej Kohli has been an evangelist of the promise of technology to improve human life and has backed ventures all over the world. He is also the owner of the Zibel real estate portfolio and the owner of several global e-commerce providers including dynacart.Tej Kohli is best known for his mission to eliminate poverty-driven corneal blindness worldwide by 2035. Since 2005 his not-for-profit Tej Kohli Foundation has become a global centre of interdisciplinary innovation for the development of new solutions. In 2018, IIT Kanpur conferred the Distinguished Alumnus Award upon Tej Kohli in recognition of his achievements developing solutions to major global health challenges through the not-for-profit Tej Kohli Foundation.

In 2019 The Telegraph profiled Tej Kohli's plans to turbo-charge the start-up scene in the United Kingdom and the Financial Times reported on his mission to end corneal blindness worldwide by 2035. Mr Tej Kohli has also funded innovative research at some of the world's leading institutions, including at the Harvard Medical School Department of Ophthalmology; and at the Tej Kohli Cornea Institute in Hyderabad, which between 2016 and 2019 welcomed 223,404 outpatients and completed 43,255 surgical procedures, largely for free.

Mr. Tej Kohli obtained his B.Tech. in Electrical Engineering from IIT Kanpur in 1980. It was whilst studying at IIT that he developed a deep passion for technology and innovation. To purse this passion in 1999 Tej Kohli established a company which specialised in the provision of payment gateways within high-risk sectors. The company employed large teams of software developers all over the world and grew at an unprecedented scale. Tej Kohli exited the company when he sold his entire stake in a private sale in 2006.

Since 2006 Tej Kohli has backed a large portfolio of innovative and ground-breaking technology businesses through his investment through his Kohli Ventures investment vehicle. He is a champion of the potential for technology to improve and extend human life, and in 2019 claimed in an interview with BusinessInsider that his children will live to 125 years old. Tej Kohli has also predicted that AI could be would $150 trillion , and he invested $100m into AI and robotics by backing the Switzerland-based Rewired venture studio.

A great admirer of Bill and Melinda Gates' charitable work, Mr. Kohli strongly believes in giving back to society. In 2005 Tej Kohli set up with Tej Kohli Foundation to focus on making interventions in poor and underserved communities worldwide. Today the Tej Kohli Foundation is best known for its mission to eradicate corneal blindness worldwide. In 2010 the Tej Kohli Foundation funded its first donor cornea implants at Niramaya Hospital in India. In 2015 the Tej Kohli Foundation substantially expanded its efforts to tackle corneal blindness in poor and underserved communities with the launch the Tej Kohli Cornea Institute in Hyderabad. Between January 2016 and November 2019 the Tej Kohli Cornea Institute welcomed more than 223,404 outpatients and completed more than 43,255 surgical procedures.

Tej Kohli has also funded the pursuit of a 'universal treatment' for corneal blindness through his Foundation's 'Applied Research' program, a longstanding scientific collaboration between researchers in Montreal Canada, and Moorfields Eye Hospital, UK. In January 2020 the 'Applied Research' program announced that it had moved one step closer in its mission to invest an affordable, accessible and scalable universal cure for corneal blindness through the regeneration of corneal tissue. In 2019 Tej also funded the Tej Kohli Cornea Program at Massachusetts Eye And Ear in Boston with an initial donation of $2m."
BVR Mohan Reddy,"Dr.BVR Mohan Reddy is an Indian entrepreneur who has firmly placed India on the global map for leading-edge engineering,and research and development (ER&D) services by establishing Cyient (formerly Infotech Enterprises) in 1991. His efforts have led Cyient to contribute more than$3billion in cumulative exports from India to Fortune 100 companiesand havecreated direct employment for about15,000 engineering professionals in 47locationsacross 21 countries. ""The theoretical background and breadth of knowledge that I gained have let me do things I otherwise would not have been able to do.""Dr. Reddy has taken up several leadership positions to promote higher education in India.He is currently the Co-Chair of CII's Education Council, and also Chairman of NASSCOM's Sector Skill Council. Dr. Reddy is currently the Chairman of the Board of Governors of IIT-Hyderabad, a member on the Board of National Skill Development Corporation (NSDC), and member of Court of Governors of Administrative Staff College of India (ASCI). Dr. Reddyhas served as the Chairman of NASSCOM (National Association of Software & Service Companies) in India during 2015-16. He has served as the Chairman of Confederation of Indian Industry (CII),

Southern Region (2008-2009).Dr.Reddy is also theFounding Director of T-Hub, the largest start-up incubation center in India. Dr.Reddy actsas the Honorary Consul of the Federal Republic of Germany for the states of Telangana and Andhra Pradeshand also serveson the Boardof Coromandel International Limited.



Dr.Reddy received India's fourth highest civilian award-the Padma Shri-in 2017 for his contribution to trade and industryin the country. He is the recipient of the Distinguished Leadership Award ofthe American Society of MechanicalEngineers (CIE Division)in 2011.He is a distinguishedalumnus of IIT-Kanpur. Dr.Reddy holds postgraduate degrees- from Indian Institute of Technology (IIT), Kanpur,and from University of Michigan, Ann Arbor, USA. He is the recipient of honorary doctorates from JNTU-Hyderabad,Andhra University, KL University, and JNTU-Kakinada."
Dr. Rajendra Singh,"Dr. Rajendra Singh, fondly called as Raj, is a serial entrepreneur with many successful companies to his credit including the LCC (Lightbridge Communications Corporation) International, a world leader in providing wireless voice and data turn-key services to the telecommunications industry. Dr. Singh has actively contributed to the academic and professional development of the wireless telecommunications industry. In 1999, Forbes counted him amongst the top billionaires in the USA. In 2001, IIT Kanpur conferred upon him the Distinguished Alumnus Award for his outstanding contributions in developing path-breaking wireless mobile radio communication technologies and setting up telecommunication companies of truly international standards. ""There is no better way than education to make this world a better place.""Dr. Singh completed his bachelors in Electrical Engineering from IIT Kanpur in 1975 following which he went abroad to the USA for higher studies. In 1977, he obtained his MS degree from the University of Maine at Orono and in 1979 completed his Ph.D. from Southern Methodist University at Dallas, Texas. In 1980, his doctoral dissertation on 'spectrum efficient schemes for mobile radio communications' got published. From 1979 to 1982, he worked as an Assistant Professor in the Department of Electrical Engineering at Kansas State University and city college of New York, USA. During his years in academics, Dr. Singh focused on the area of wireless mobile radio communication technologies. He served as a member of numerous electrical engineering societies and held distinguished record of academic achievements including the organization of and participation in the CTIA scientific panel which investigated time dispersion for TDMA and FDMA.

In the late 1982, while working on a problem, he and his wife succeeded in writing a software program that could quickly calculate radio tower interference for new cellular telephone systems. The husband-wife duo sent the code to Wayne Schelle of the Schelle Cellular Group Inc. who found that the program could save his company $80,000. Soon, the duo became widely popular for combining software with radio spectrum and started receiving more work. In 1983, he co-founded LCC (Lunayach Communications Consultants) with his wife. The company went on to work with all major access technologies and participated in the success of some of the most sophisticated wireless systems in the world. It has performed technical services for the largest wireless operators in North and South America, Europe, the Middle East, Africa and Asia. Since 1983, he has served the company in different capacities including being the President, the CEO, the Treasurer and eventually the Chairman of the Board of the Directors.

Besides being associated with LCC, Dr. Singh set up several other ventures. These include APEX, a company that connected cell circuits to prevent mobile fraud; Teligent Inc., a NASDAQ listed company with over 3000 employees; PORTATEL del sureste, a cellular wireless services company in Mexico; TRICOM, a digital SMR system in Mexico; chamber Biz, a B-2-B internet company; Telcom Ventures, LCC, a holding company for personal investments; and many others where he has invested a large amount such as Portugal GSM system and service, BPL cellular for a GSM cellular system in Bombay India, and Aether Systems Inc. Most of Dr. Singh's companies have performed exceedingly well. Some of these have been acquired by other companies including the LCC International that was acquired by Tech. Mahindra in February 2015.

In 2008, Dr. Singh announced his retirement from the Board of LCC. ""It has given me great personal rewards, and it has enabled LCC to be what it is today. It is with a real sense of accomplishment and an interest in giving back that I decided the time has come to explore other activities, including charitable and philanthropic work.""

Currently, Dr. Singh focuses on philanthropic work and supports education and livelihood programs across India. IIT Kanpur too is a beneficiary of his generosity where the husband-wife duo has set up a chair in their name 'Raj and Neera Singh Chair'. On 23 September 2016, the duo was honored by the American India's Foundation for their outstanding leadership and philanthropy."
Mr. Muktesh Pant,"Mr. Muktesh Pant currently serves as a Senior Advisor at Beyond Meat. He is also the former CEO of Yum! Restaurants China. Besides his analytical incisiveness, Mr. Pant's success in managing companies is known to be steeped in his social awareness, human understanding and human relationships. His commitment to integrity and honesty is of utmost order and his unique style of functioning has been described in today's business world as hands-on without interfering.Born in 1954 in Nainital, Uttarakhand, he did his schooling at Saint Joseph's School Nainital. His mother, Shivani, is a famous Hindi novelist. Mr. Pant's childhood ambition was to be a chemistry teacher. In 1976, he obtained his chemical engineering degree from IIT Kanpur. From 1976 to 1992, he worked in various executive capacities at Unilever in India and the United Kingdom and built a strong foundation in marketing and international business. From 1992 to 1994, he worked at PepsiCo in PepsiCo s India startup. In 1995, he joined Reebok and helped Reebok to set up its operations in India for the first time. Mr. Pant worked in various capacities at Reebok, including as Chief Marketing Officer from 2001 to 2004. He served Reebok International at Boston, Massachusetts, USA as the Senior Vice President of its global marketing division.



During the time Mr. Pant worked for Reebok, he also served as a director on the board of the American college of sports medicine. He was instrumental in establishing Reebok in the emerging markets in Asia. During his tenure as the global CMO, Reebok was the winner of two golden lion awards at the Cannes film festival, considered by many to be the highest awards in advertising. In 2003, he was recognized as the interactive marketer of the year by AdWeek magazine.



Mr. Pant became the CEO of Yum! Restaurants China on 18th August 2015. He is a long-time Yum! veteran. He brought his vast knowledge of best practices from around the globe and strategic, brand-building expertise to Yum! Restaurants China. Yum! is the leading retail developer in China with more than 7,100 restaurants in over 1,100 cities. During Pant's tenure, Yum! targeted non-US markets heavily in response to the increased consumer spending on food in the developing world."
Mr. Abhay K. Bhushan,"Shri Abhay K. Bhushan is one of the most esteemed alumni of the institute. Credited with authoring the File Transfer Protocol (FTP) and early versions of e-mail protocols, he is referred to as the Internet pioneer. He is a co-holder of 12 US patents on semiconductor drying and cleaning technologies. He has also mentored a host of start-up ventures in the USA. In 2006, IIT Kanpur conferred upon him the Distinguished Alumnus Award for excellence in entrepreneurship and his philanthropic work. ""Success is often being in the right place at the right time. However, one has to seize the opportunities both visible and latent.""Mr. Abhay Bhushan obtained his B.Tech. degree in Electrical Engineering from IIT Kanpur in 1965 following which he went to the Massachusetts Institute of Technology to pursue Masters in EE and a Masters in Management as well. It is there that he got involved with some path-breaking work. While serving as a member of the research staff for M.I.T.'s Project MAC from 1967 to 1974, he worked on building the first network which almost 10-15 years later branched and flowered into the internet.

In 1974, he joined the Xerox Corporation and served as a Senior Manager handling systems architecture, Xerox Network Systems standards and business development. He also initiated and managed the award-winning Environmental Leadership Program at Xerox and authored the widely acclaimed business guide to waste reduction and recycling. In 1978, he took a year-long sabbatical from the company and came to India to work in the villages. He worked in Allahabad on several grassroots programs trying to understand the issues that affected the 75% of the Indian population. The Indo-American Chamber of Commerce honored him with the Community Service Award for his outstanding philanthropic work.

In 1996, Mr. Bhushan co-founded Portola Communications that developed internet software for messaging systems. The company was acquired by Netscape in 1997. He also served as a co-founder and CFO of the YieldUP International Corporation, a public company engaged in the development, manufacture, and marketing of cleaning, rinsing, and drying equipment used during the manufacturing process for semiconductors and other defect sensitive substrates. In 1999, the company became a subsidiary of FSI International Inc. Today, he is actively involved in mentoring young entrepreneurs and start-up companies in the Silicon Valley.

Over the years, Mr. Bhushan has made outstanding contributions towards his alma mater and his country. He is the founding past president of Pan IIT USA and past president of IIT Kanpur Alumni Association and the IIT Kanpur Foundation. Presently, he is the Chief Financial Officer of the IITK Foundation, USA, and the coordinator for the PanIIT global committee. He also serves on the Board of the IIT Gandhinagar Foundation in the USA. He is directly involved with a few organizations working towards the betterment of the Indian society such as Indians for Collective Action, Funds for Rapid Advancement of India, India Literacy Projects, etc.

Currently, Mr. Bhushan serves as the Chairman of Asquare Inc., a leading technology consulting and staffing agency. Besides his work and philanthropic commitments, he is an active marathoner and Ironman triathlete. He has run marathons across the globe including the Victoria BC Marathon 2001, Maui Marathon 2004, Silicon Valley Marathon 2004, Big Sur Marathon 2005, Ironman 70.3 Vineman 2006 and IIT Kanpur Golden Jubilee Ultra marathon in 2010."
Mr. Arvind Kumar Gupta,"Over a period of four decades, Mr. Gupta has visited more than 3,000 schools, made 6,200 short films on toy-making in 18 languages and has provided free books on his website in 12 languages. His popular TED talk -Turning trash into toys for learning - is among the top 10 globally. Arvind Gupta's first book, Matchstick Models and other Science Experiments, was translated into 12 Indian languages by various Popular Science groups and sold more than half a million copies. Gupta has conducted workshops in over 2000 schools and has won many national and international awards. As a student in the 1970 s in Kanpur, Mr. Gupta became a socialist in belief but eschewed action-less discourse; he stated that instead he ""placed more faith in small positive action than empty rhetoric."" Gupta began his social service by teaching the children of the mess staff who had no opportunities for formal education.



Gandhian in outlook, Mr.Arvind Kumar Gupta participated in the Hoshangabad Science Teaching Programme (HSTP) in Madhya Pradesh in 1978. While he was there he developed his idea of creating simple toys and educational experiments using locally available materials as well as items usually thrown as trash. These simple toys, he found, fascinated children and Mr. Gupta went on to make these as the hallmark of his movement of popularising science. His first book, ""Matchstick Models and other Science Experiments"" was reprinted in 12 languages. Mr.Gupta's website holds instructions, including short video clips on YouTube, in a number of languages, for making hundreds of improvised toys, which he makes available freely without copyright restrictions.Mr. Gupta draws inspiration from a number of people, including Gautama Buddha, George Washington Carver and his mother. Mr. Gupta has won several awards for his lifelong efforts at popularizing science and in designing teaching aids for young children. Mr. Arvind Kumar Gupta was conferred with the Distinguished Alumnus Award, 2001 from IIT Kanpur."
Mr. Saurabh Srivastava,"Mr. Saurabh Srivastava did his mechanical engineering from IIT Kanpur in 1968 and went on to pursue his master's degree at Harvard University. He started his career with IBM in the US and later worked at Tata Unisys in India before embarking on his entrepreneurial career. He co-founded and Chaired key institutions of modern India focussed on entrepreneurship: NASSCOM; Indian Venture Capital Association; TiE New Delhi NCR; Indian Angel Network.
After working for IBM and Tata Unisys in the US and India, Mr. Srivastava became a highly successful serial entrepreneur , founding several successful IT companies. One was ranked amongst the top 20 Indian software companies and, post merger, listed as Xansa on the London Stock Exchange with revenues of approx. US $ 800 mill till it was acquired by Steria. He now Chairs Steria in India.
Mr. Srivastava is a doyen of entrepreneurship and angel/VC investments. He has been involved in investing in around 100 start-ups and has personally mentored hundreds of entrepreneurs. He founded and chaired India's first private sector VC Fund- Infinity, which created companies like, India Bulls, India Games and Avendus. He was adjunct Professor of Entrepreneurship at IIT Bombay, on the board of Incubation Cell of IIT Delhi and is on the board of the Entrepreneurship/ Innovation Cell at IIT Kanpur. At the forefront of public service, constantly striving to help create a positive environment for startups and entrepreneurship in India, he has served on virtually every Committee set up by government to look at different aspects of startups and entrepreneurship in India : The National Innovation Council, SEBI Committee on Alternative Investment Funds, , Investment Committee of the Government's India Aspiration Fund of Funds Committee to Examine the Financial Structure of the MSME Sector, Bombay Stock Exchange Hi-Tech Advisory Panel ,Telecom Centre of Excellence and the National Expert Advisory Committee on Innovation, Incubation and Technolgy Entrepreneurship.
Mr. Srivastava is a co-founder of Ashoka University and serves on the Advisory Boards of Imperial College Business School, London and Uttarakhand and Himachal Universities in India."
Mrs. Sonal V. Mishra,"Mrs. Sonal V. Mishra has become the first woman IPS officer from Chhattisgarh to receive the Indian Police Medal for her distinguished services. The medal was bestowed upon her by the Chhattisgarh Chief Minister Dr. Raman Singh during the 2016 Independence Day celebrations at Police Parade Grounds, RaipurShe completed her primary education in Jagdalpur. She pursued engineering in electronics from National Institute of technology (NIT) Raipur and completed M. Tech from IIT, Kanpur in 1988.



Sonal, an IPS officer of batch 2000 from Tamil Nadu cadre, played a highly commendable role in controlling crime and maintaining law and order in Trichi, Krishnagiri, Erode and Chennai in Tamil Nadu during her service period. She has also served the Special Information Bureau (SIB).

Currently, she is posted as the Deputy Inspector General of Police (Administration) at Naya Raipur, Chhattisgarh."
Mr. Ashok Kumar Meena,"Mr. Ashok Kumar Meena is an IAS officer from 1993 batch. Throughout his career, he has successfully delivered results on many challenging projects related to Investment and Trade Promotion, Infrastructure Financing and PPP project formulation, E-Governance, Management of PSUs, WTO and Development issues and Single Window Clearances for implementation of Industrial Projects.

He is also credited with the implementation of the Orissa R & R Policy 2006, considered to be one of the best Rehabilitation and Resettlement policies of the country. Currently, Mr. Meena serves as a Joint Secretary with the Department of Food Supplies and Consumer Welfare.Mr. Ashok Kumar Meena completed his B.Tech. in Computer Science & Engineering in 1992 from IIT Kanpur. In 1993, he joined the Indian Administrative Services (IAS) and since then has worked in different capacities with the State and the Central Governments, in particular with the Orissa government. Alongside his administrative responsibilities, he continued increasing his knowledge in subjects of his interest.



Mr. Meena started out as an IAS officer trainee in the Mayurbhanj District of Orissa. He later donned the roles of an Assistant Collector at Mayurbhanj, a Sub Collector and SDM at Berhampur, and a Project Director at Ganjam, Orissa. His work in the rural and tribal belts of Orissa brought him face-to-face with the real India and impacted him tremendously. From June 2000 to April 2001, he was posted at Keonjhar as a Collector and District Magistrate. At Keonjhar, a mineral rich area, he played a daunting task of maintaining cordial relations between mine owners and workers. He also ensured that the Gram Panchayats participated actively in discussing and debating the various development issues related to education, health, roads, agriculture etc. thus resulting in a responsive and inclusive governance in the district. From 2001 to 2006, he worked with the different ministries and departments of the Government of India including the Ministry of Water Resources, Ministry of Human Resources and Development, and the Department of Commerce. During that time, he was involved with many crucial projects such as formulation and enactment of SEZ Act 2005, preparation of National Water Policy, solving river water disputes and many more. Owing to this work, he developed an interest for International Trade, and Export Promotion issues and Policy Making.

In 2006, Mr. Meena again joined the Orissa Government as the Managing Director of IDDCO. During his one-year tenure at IDDCO, the corporation grew by more than 125%. He also implemented the Orissa R & R Policy, 2006 considered to be one of the best Rehabilitation and Resettlement policies of the country. As a Revenue Divisional Commissioner for Central and Northern Division, he administered 10 districts of Orissa and also worked as the Chief Administrator for the world famous Shri Jagannath Temple at Puri. Till 2011, he worked with the5 Orissa government on Industrial Promotion, Single Window Facilitation and externally aided projects.

Currently, Mr. Ashok Kumar Meena works as the Joint Secretary of the Department of Food Supplies and Consumer Welfare. He continues to strive to contribute substantially towards the policy formulation, required in the changed economic context, where public services can be delivered with an effective private sector participation. In future, he wishes to get involved with the International Development for poverty reduction."
Dr. Duvvuri Subbarao,"Dr. Duvvuri Subbarao is an Indian Economist, Central Banker and Civil Servant. He is known to be a reformer at heart who has favoured inclusive economic policies. In 2009, he was conferred with the Distinguished Alumnus Award in recognition of his outstanding managerial contributionsBorn in Eluru in West Godavari, Andhra Pradesh, on 11th August 1949, he did his schooling in Korukonda Sainik School. In 1969, he graduated in B.Sc. Honors (Physics) from Indian Institute of Technology, Kharagpur. During his graduation, he received the Director, Gold Medal. Later, he went for a Master's degree in Physics from Indian Institute of Technology,Kanpur. In 1978,he received another Master's degree in Economics from the Ohio State University, United States. After a few years, Dr. Subbarao joined the Humphrey Fellowship program at Massachusetts Institute of Technology to study Quantitative Economic Modelling and became a Humphrey Fellow at MIT in 1982. He later received a Ph.D. in Economics from Andhra University.



In 1972, Dr. Subbarao topped the Civil Services Examination and was assigned the Andhra Pradesh cadre. He was appointed as the joint secretary of Department of Economics Affairs in the Ministry of Finance in Government of India. He served in this position from 1988 to 1993. Later, he was made the Finance Secretary of Government of Andhra Pradesh and served in this position till 1998. From 1994 to 2004, he served as the lead economist at the World Bank.

Dr. Subbarao has vast experience on issues in public finance and has held important posts in this area. He has worked as Secretary to the Prime Minister's Economic Advisory Council. He took charge as the 22nd Governor of Reserve Bank of India in September 2008 and served under the then Prime Minister Dr. Manmohan Singh. During his tenure as Governor of RBI, Dr. Subbarao took initiatives for the demystification of the Central Bank, including lucid presentation of terse macro-economic concepts in the RBI publications and grassroots level interaction with the masses through various financial inclusion, financial literacy and village outreach programmes. Dr. Subbarao is generally credited as having safely stewarded Indian economy through the financial crisis. However, it was during Subbarao's tenure that the value of Indian Rupee tumbled spectacularly, with USD/INR exchange rate for the first time breaching the psychological barrier of 60 and even hitting a new low of 69.

Dr. Subbarao is known to have a mind of his own and frequently vetoes / overrides the opinion of his fellow members of the Technical Advisory Group on Monetary Policy. He is criticized as lacking democratic spirit by regularly going against the majority opinion of fellow experts in the apex level committee. During Subbarao's last days at the helm of RBI, the banking industry in India was rocked by the infamous Cobra Post expose of money laundering by leading Indian banks through violation of RBI's KYC guidelines, which pointed to the slackness and loopholes in the supervisory role of RBI."
Mr. Sudhir Vyas,"Mr. Sudhir Vyas is presently ambassador of India in Germany and is a presidential gold medalist of IIT Kanpur from the Class-of-75. He was amongst the first few IITians to change course and opt for an altogether different professional stream. This was a rare challenge in those early days, when the complex system of difficult entrance examinations and oral tests to enter the Indian civil services were so different, both in style and substance, from an IIT engineering syllabus. Yet he sat for the

all India civil services examinations conducted by the union public service commission to top the IAS in 1977. He joined the Indian foreign service the same year.Mr. Vyas had wide-ranging interests as a student at IIT Kanpur, from history to art, but he was especially known for his interest in and knowledge of wildlife, in particular, ornithology. A keen bird watcher, he had invited Padma Bhushan Shri Salim Ali, perhaps India most outstanding researcher, author and conservationist in this field to speak at IIT Kanpur. In the course of his diplomatic career spanning 32 years now, Sudhir has spent almost a third dealing with India neighbours where India foreign policy faces some of its severest challenges, either from those capitals or handling their affairs from the foreign ministry in Delhi. He has served in Kathmandu, Nepal, in those tumultuous days leading to the introduction of democracy in that country; in Pakistan, at a particularly difficult period in our bilateral relations that witnessed some of the most tricky diplomatic situations in that country, such as General Musharraf military coup, the IC 814 airplane hijacking and its violent aftermath, the Agra Summit and the risky situation during operation Parakram following the terrorist attack on our Parliament in 2001.



Mr. Vyas was Ambassador in Thimphu, Bhutan, with which India enjoys a specially close relationship, during a particularly historic period in that country that witnessed its transition to constitutional democracy and the coronation of its present King. Another area of Sudhir specialisation has been the Arab world, where he served as India ambassador to the UAE and earlier in Egypt and Algeria. He studied Arabic to meet the requirements of this specialisation. He has also considerable experience of multilateral diplomacy at the UN in New York, when he served as a member of India delegation to the UN security council when India was a member of that body in 1991-92, just when the former soviet union collapsed and the balance of power in the world began to change with the first Gulf war.

Mr. Vyas is now Indian ambassador to Germany, Europe economic powerhouse and a leading innovator of technologies for the future; today, in areas such as climate change and green energy issues, this diplomatic engagement and dialogue takes on a special relevance. And all through his diplomatic career that has taken him to so many different parts of the world, Sudhir has kept up his keen interest in birds, ornithology and wildlife in particular, and conservation issues in general. He is conferred with the distinguished alumnus award of the Indian Institute of Technology Kanpur for his outstanding achievements in managing the diplomatic relations of India with several countries."
